lens_type,stage,store_location,inventory_available,elapsed_hours,sla_hours,days_in_current_stage,breached
Progressive,Prescription Verified,Kolkata,1,37,72,5,0
Bifocal,QC,Kolkata,1,44,48,4,1
Bifocal,Lens Allocated,Mumbai,1,15,48,1,0
Progressive,Production,Delhi,1,2,72,4,0
Bifocal,Shipped,Bangalore,0,40,48,0,1
Progressive,QC,Durgapur,0,23,72,2,1
Single Vision,Shipped,Durgapur,1,48,24,4,1
Bifocal,Shipped,Delhi,0,27,48,2,0
Progressive,Packed,Mumbai,0,50,72,2,1
Progressive,Packed,Durgapur,1,16,72,3,0
Progressive,Packed,Bangalore,0,79,72,1,1
Single Vision,Prescription Verified,Durgapur,1,57,24,3,1
Progressive,Prescription Verified,Delhi,0,11,72,1,1
Single Vision,Prescription Verified,Mumbai,1,57,24,2,0
Bifocal,Packed,Mumbai,0,77,48,3,1
Bifocal,Order Placed,Durgapur,1,5,48,1,0
Single Vision,QC,Kolkata,0,85,24,5,1
Single Vision,Packed,Delhi,0,98,24,5,1
Bifocal,Packed,Bangalore,0,88,48,0,1
Single Vision,Packed,Kolkata,1,90,24,1,1
Bifocal,Prescription Verified,Delhi,1,69,48,3,1
Progressive,Lens Allocated,Delhi,0,15,72,4,1
Bifocal,QC,Mumbai,0,39,48,1,0
Bifocal,Shipped,Mumbai,1,50,48,0,1
Single Vision,Order Placed,Bangalore,0,17,24,2,1
Progressive,Lens Allocated,Kolkata,0,78,72,5,1
Bifocal,Packed,Durgapur,0,51,48,2,0
Bifocal,Prescription Verified,Mumbai,0,36,48,2,1
Bifocal,Shipped,Delhi,1,39,48,3,1
Single Vision,Prescription Verified,Delhi,0,99,24,4,1
Progressive,Production,Delhi,0,71,72,0,1
Progressive,Prescription Verified,Bangalore,0,53,72,1,1
Progressive,Production,Durgapur,1,98,72,5,0
Bifocal,Shipped,Delhi,1,35,48,3,1
Bifocal,Order Placed,Delhi,1,70,48,0,0
Single Vision,Shipped,Delhi,0,74,24,0,1
Progressive,QC,Delhi,1,56,72,4,1
Single Vision,Packed,Kolkata,1,38,24,0,1
Bifocal,Production,Bangalore,1,33,48,0,0
Progressive,Order Placed,Kolkata,1,1,72,4,0
Progressive,Lens Allocated,Kolkata,0,90,72,3,1
Progressive,Order Placed,Mumbai,1,8,72,2,0
Bifocal,Shipped,Bangalore,0,79,48,1,1
Single Vision,Prescription Verified,Durgapur,0,97,24,3,1
Bifocal,Prescription Verified,Delhi,1,73,48,4,1
Bifocal,Order Placed,Mumbai,1,12,48,3,0
Bifocal,Lens Allocated,Delhi,0,85,48,4,0
Progressive,Order Placed,Durgapur,1,55,72,5,1
Progressive,Lens Allocated,Kolkata,1,46,72,3,0
Bifocal,Production,Mumbai,1,61,48,2,1
Progressive,Packed,Mumbai,0,59,72,3,1
Progressive,QC,Mumbai,0,17,72,4,1
Single Vision,Prescription Verified,Bangalore,0,1,24,3,0
Single Vision,QC,Durgapur,0,71,24,5,1
Bifocal,Shipped,Durgapur,0,49,48,2,1
Single Vision,Shipped,Kolkata,0,76,24,5,1
Progressive,Order Placed,Durgapur,0,5,72,5,1
Bifocal,QC,Mumbai,1,95,48,0,1
Progressive,Packed,Mumbai,1,54,72,4,0
Bifocal,Shipped,Mumbai,0,54,48,0,1
Progressive,Production,Bangalore,1,56,72,0,0
Single Vision,Packed,Bangalore,1,33,24,4,1
Bifocal,Lens Allocated,Delhi,1,19,48,5,0
Single Vision,Order Placed,Mumbai,1,77,24,3,1
Bifocal,Lens Allocated,Bangalore,1,51,48,2,0
Progressive,Shipped,Kolkata,0,11,72,0,1
Bifocal,Shipped,Mumbai,1,34,48,1,0
Bifocal,QC,Bangalore,0,39,48,5,0
Single Vision,Order Placed,Mumbai,1,53,24,0,0
Bifocal,Lens Allocated,Durgapur,1,45,48,0,0
Progressive,QC,Bangalore,1,32,72,4,0
Single Vision,Lens Allocated,Durgapur,0,98,24,2,1
Progressive,Production,Durgapur,0,60,72,3,1
Progressive,Lens Allocated,Durgapur,0,79,72,2,1
Single Vision,Production,Mumbai,0,13,24,3,1
Bifocal,Prescription Verified,Mumbai,0,86,48,2,0
Progressive,QC,Kolkata,1,74,72,1,1
Progressive,Order Placed,Kolkata,0,59,72,5,1
Bifocal,Production,Bangalore,0,99,48,5,1
Bifocal,Shipped,Mumbai,0,63,48,1,0
Bifocal,QC,Bangalore,0,25,48,5,1
Bifocal,Order Placed,Kolkata,1,54,48,2,0
Single Vision,Order Placed,Kolkata,1,9,24,4,0
Single Vision,Prescription Verified,Durgapur,0,66,24,0,1
Bifocal,Prescription Verified,Kolkata,1,4,48,3,0
Single Vision,Packed,Kolkata,0,91,24,5,1
Progressive,Lens Allocated,Delhi,1,7,72,2,0
Bifocal,Packed,Bangalore,1,68,48,5,1
Bifocal,Production,Bangalore,0,80,48,4,1
Progressive,Prescription Verified,Bangalore,1,16,72,2,0
Progressive,Order Placed,Delhi,0,74,72,2,1
Single Vision,Shipped,Kolkata,1,17,24,1,0
Bifocal,Packed,Durgapur,0,13,48,0,0
Progressive,QC,Delhi,0,63,72,1,1
Progressive,Packed,Bangalore,0,70,72,1,1
Single Vision,Production,Kolkata,0,1,24,2,1
Bifocal,Order Placed,Delhi,0,71,48,0,1
Progressive,Order Placed,Delhi,1,21,72,1,0
Progressive,Production,Bangalore,1,23,72,0,0
Single Vision,Shipped,Mumbai,0,28,24,2,1
Single Vision,QC,Durgapur,0,86,24,2,1
Progressive,Production,Kolkata,0,91,72,0,1
Single Vision,Prescription Verified,Kolkata,0,60,24,2,1
Bifocal,Prescription Verified,Durgapur,0,97,48,0,1
Bifocal,Shipped,Mumbai,1,70,48,5,1
Bifocal,Prescription Verified,Bangalore,1,80,48,1,0
Progressive,QC,Delhi,1,17,72,0,0
Bifocal,Packed,Mumbai,0,40,48,1,1
Single Vision,Shipped,Durgapur,1,43,24,3,1
Single Vision,Packed,Kolkata,0,47,24,2,1
Single Vision,Lens Allocated,Durgapur,0,39,24,5,1
Single Vision,Production,Mumbai,1,80,24,3,1
Bifocal,Prescription Verified,Kolkata,1,90,48,5,0
Bifocal,Prescription Verified,Durgapur,1,52,48,4,1
Progressive,Packed,Durgapur,0,92,72,5,1
Progressive,Production,Kolkata,1,66,72,3,1
Single Vision,Order Placed,Kolkata,0,76,24,0,1
Progressive,Lens Allocated,Delhi,1,37,72,5,0
Progressive,Lens Allocated,Kolkata,0,80,72,5,1
Single Vision,Production,Durgapur,1,5,24,3,0
Single Vision,Production,Durgapur,0,21,24,2,1
Bifocal,Prescription Verified,Mumbai,0,74,48,4,0
Bifocal,Prescription Verified,Kolkata,1,59,48,5,1
Bifocal,Shipped,Durgapur,1,77,48,2,0
Progressive,Order Placed,Kolkata,1,2,72,3,0
Progressive,QC,Kolkata,0,40,72,0,1
Progressive,Order Placed,Durgapur,0,74,72,4,1
Bifocal,Prescription Verified,Durgapur,0,49,48,0,1
Single Vision,Order Placed,Delhi,0,15,24,5,1
Progressive,QC,Bangalore,0,50,72,0,1
Bifocal,Order Placed,Bangalore,1,47,48,1,0
Progressive,Packed,Kolkata,0,1,72,4,1
Progressive,Order Placed,Durgapur,1,33,72,4,0
Bifocal,Order Placed,Bangalore,0,75,48,4,1
Bifocal,Lens Allocated,Mumbai,0,29,48,2,1
Progressive,Packed,Mumbai,0,85,72,5,1
Bifocal,Production,Durgapur,1,73,48,3,1
Bifocal,Packed,Mumbai,0,5,48,1,0
Progressive,QC,Kolkata,1,80,72,5,1
Single Vision,QC,Durgapur,1,49,24,4,1
Single Vision,Shipped,Kolkata,1,16,24,5,0
Bifocal,Prescription Verified,Mumbai,0,1,48,0,0
Single Vision,Packed,Delhi,0,78,24,4,1
Single Vision,QC,Mumbai,1,98,24,5,1
Bifocal,Lens Allocated,Bangalore,1,49,48,1,1
Progressive,Lens Allocated,Mumbai,1,23,72,4,0
Progressive,Prescription Verified,Durgapur,0,85,72,3,1
Single Vision,Packed,Mumbai,1,60,24,1,0
Progressive,Shipped,Mumbai,0,3,72,3,1
Single Vision,Lens Allocated,Bangalore,1,20,24,2,1
Single Vision,Production,Delhi,0,7,24,1,1
Progressive,Production,Bangalore,0,98,72,1,1
Single Vision,QC,Mumbai,1,79,24,5,1
Progressive,Production,Kolkata,0,82,72,0,1
Bifocal,Prescription Verified,Mumbai,1,99,48,1,1
Progressive,Lens Allocated,Mumbai,0,35,72,4,1
Progressive,QC,Durgapur,1,73,72,2,1
Progressive,Order Placed,Delhi,1,17,72,1,0
Single Vision,Order Placed,Bangalore,1,49,24,1,0
Bifocal,QC,Kolkata,1,17,48,1,0
Progressive,QC,Delhi,1,38,72,0,0
Progressive,Lens Allocated,Bangalore,1,96,72,3,1
Single Vision,Order Placed,Delhi,0,67,24,3,1
Single Vision,Production,Delhi,0,4,24,5,1
Single Vision,QC,Delhi,0,29,24,5,1
Single Vision,QC,Durgapur,0,55,24,3,1
Progressive,Shipped,Delhi,1,6,72,4,0
Single Vision,Order Placed,Bangalore,1,32,24,3,1
Bifocal,QC,Bangalore,0,53,48,0,1
Progressive,Prescription Verified,Bangalore,0,5,72,4,1
Progressive,Order Placed,Durgapur,1,59,72,4,1
Progressive,Lens Allocated,Durgapur,1,83,72,3,1
Progressive,Prescription Verified,Kolkata,0,96,72,4,1
Progressive,QC,Bangalore,1,20,72,4,1
Bifocal,Production,Delhi,0,4,48,5,1
Progressive,Production,Kolkata,1,50,72,4,1
Bifocal,QC,Bangalore,1,85,48,0,1
Single Vision,Order Placed,Delhi,1,62,24,2,1
Single Vision,Order Placed,Kolkata,1,49,24,5,1
Bifocal,Packed,Kolkata,1,9,48,3,0
Bifocal,Packed,Mumbai,0,58,48,1,1
Progressive,Production,Kolkata,1,68,72,2,1
Bifocal,Shipped,Mumbai,0,22,48,1,0
Progressive,Prescription Verified,Bangalore,1,6,72,0,0
Single Vision,QC,Mumbai,0,10,24,0,1
Bifocal,Order Placed,Kolkata,1,85,48,5,1
Progressive,Lens Allocated,Durgapur,1,99,72,5,1
Bifocal,Prescription Verified,Delhi,0,15,48,2,0
Single Vision,Packed,Durgapur,1,64,24,3,1
Progressive,Packed,Mumbai,1,39,72,0,0
Bifocal,Order Placed,Mumbai,1,79,48,4,1
Progressive,Lens Allocated,Bangalore,0,65,72,3,1
Progressive,QC,Kolkata,1,72,72,2,1
Bifocal,Packed,Delhi,1,31,48,0,0
Bifocal,Prescription Verified,Bangalore,1,22,48,1,0
Progressive,Lens Allocated,Mumbai,0,84,72,3,1
Single Vision,Production,Durgapur,1,68,24,1,1
Single Vision,Shipped,Mumbai,1,85,24,3,1
Bifocal,Prescription Verified,Delhi,0,73,48,3,1
Progressive,Prescription Verified,Kolkata,1,79,72,0,1
Bifocal,Order Placed,Durgapur,0,26,48,0,0
Progressive,Packed,Delhi,0,96,72,5,1
Progressive,Shipped,Mumbai,1,66,72,1,1
Progressive,Order Placed,Durgapur,0,23,72,4,1
Bifocal,Packed,Mumbai,0,26,48,2,0
Progressive,Prescription Verified,Delhi,0,35,72,2,1
Single Vision,QC,Kolkata,0,54,24,4,1
Single Vision,Order Placed,Delhi,0,87,24,5,1
Single Vision,Lens Allocated,Mumbai,0,54,24,2,1
Bifocal,Shipped,Mumbai,1,33,48,5,0
Single Vision,Production,Kolkata,1,26,24,1,1
Progressive,Prescription Verified,Durgapur,0,20,72,3,1
Single Vision,Lens Allocated,Durgapur,1,6,24,5,0
Progressive,Packed,Delhi,1,43,72,2,0
Single Vision,Packed,Delhi,1,47,24,0,0
Bifocal,Prescription Verified,Delhi,0,89,48,4,1
Bifocal,Packed,Delhi,1,7,48,2,0
Single Vision,Shipped,Bangalore,1,10,24,1,0
Progressive,Production,Durgapur,1,54,72,5,1
Single Vision,QC,Delhi,1,44,24,2,1
Progressive,Lens Allocated,Kolkata,1,46,72,2,0
Bifocal,Packed,Bangalore,0,58,48,3,1
Bifocal,QC,Durgapur,1,59,48,2,1
Progressive,Packed,Kolkata,1,85,72,1,1
Single Vision,Packed,Bangalore,0,12,24,1,0
Progressive,Lens Allocated,Durgapur,1,33,72,4,0
Bifocal,QC,Delhi,1,61,48,4,0
Progressive,Prescription Verified,Durgapur,1,84,72,1,1
Progressive,Packed,Bangalore,0,32,72,5,1
Progressive,Lens Allocated,Bangalore,0,40,72,2,1
Single Vision,Shipped,Durgapur,0,8,24,2,0
Single Vision,Prescription Verified,Kolkata,0,62,24,3,1
Single Vision,Prescription Verified,Kolkata,1,66,24,5,1
Bifocal,Prescription Verified,Durgapur,0,69,48,4,1
Single Vision,QC,Bangalore,1,6,24,1,0
Bifocal,Production,Durgapur,1,98,48,4,1
Bifocal,Lens Allocated,Durgapur,0,9,48,1,0
Single Vision,Lens Allocated,Durgapur,1,19,24,3,0
Progressive,QC,Bangalore,0,78,72,5,1
Single Vision,Lens Allocated,Delhi,1,79,24,2,0
Single Vision,Order Placed,Mumbai,1,9,24,3,0
Progressive,Packed,Delhi,1,87,72,5,1
Progressive,QC,Bangalore,0,77,72,3,0
Bifocal,QC,Kolkata,0,30,48,5,1
Bifocal,Shipped,Kolkata,1,94,48,5,1
Bifocal,Prescription Verified,Durgapur,1,56,48,3,1
Progressive,Order Placed,Durgapur,0,16,72,4,1
Single Vision,Order Placed,Durgapur,1,65,24,0,0
Single Vision,Shipped,Durgapur,1,55,24,4,1
Single Vision,QC,Kolkata,1,70,24,5,1
Single Vision,Lens Allocated,Bangalore,0,74,24,1,1
Bifocal,Production,Bangalore,1,96,48,4,1
Bifocal,Production,Durgapur,0,38,48,2,1
Bifocal,Prescription Verified,Mumbai,1,8,48,1,0
Single Vision,Order Placed,Durgapur,1,64,24,0,0
Bifocal,Packed,Bangalore,1,46,48,0,0
Single Vision,QC,Delhi,0,84,24,2,1
Progressive,Production,Durgapur,0,20,72,4,1
Progressive,Lens Allocated,Durgapur,1,54,72,4,0
Bifocal,Production,Bangalore,0,21,48,1,1
Single Vision,QC,Durgapur,0,68,24,5,1
Progressive,QC,Bangalore,1,14,72,5,1
Bifocal,Production,Kolkata,0,96,48,3,0
Bifocal,Prescription Verified,Bangalore,0,59,48,5,1
Progressive,Order Placed,Durgapur,1,46,72,3,1
Bifocal,Shipped,Kolkata,1,8,48,0,0
Single Vision,Prescription Verified,Delhi,0,98,24,2,1
Progressive,Lens Allocated,Bangalore,1,89,72,1,1
Single Vision,Lens Allocated,Bangalore,0,30,24,0,1
Bifocal,Packed,Delhi,1,48,48,4,1
Single Vision,Packed,Kolkata,0,91,24,3,1
Single Vision,QC,Durgapur,0,43,24,3,1
Progressive,Order Placed,Bangalore,1,22,72,1,0
Progressive,QC,Bangalore,0,65,72,3,1
Single Vision,QC,Bangalore,0,58,24,0,1
Progressive,Prescription Verified,Bangalore,0,60,72,3,1
Single Vision,Prescription Verified,Delhi,1,19,24,5,0
Bifocal,Shipped,Kolkata,0,69,48,2,1
Progressive,Prescription Verified,Durgapur,0,31,72,0,0
Single Vision,Production,Kolkata,0,45,24,3,1
Bifocal,Lens Allocated,Delhi,1,89,48,0,0
Single Vision,Packed,Bangalore,1,71,24,3,1
Progressive,Order Placed,Durgapur,1,74,72,5,1
Progressive,Production,Mumbai,0,82,72,5,1
Progressive,QC,Durgapur,0,46,72,4,1
Progressive,Lens Allocated,Delhi,1,88,72,0,1
Progressive,Packed,Durgapur,0,35,72,1,1
Bifocal,Order Placed,Kolkata,1,48,48,0,0
Progressive,Packed,Delhi,0,23,72,4,1
Bifocal,Prescription Verified,Mumbai,0,61,48,1,1
Single Vision,Prescription Verified,Mumbai,1,43,24,5,1
Single Vision,Production,Mumbai,0,89,24,3,1
Progressive,Packed,Bangalore,0,90,72,4,1
Bifocal,Order Placed,Kolkata,1,65,48,1,0
Bifocal,Prescription Verified,Bangalore,1,62,48,2,0
Single Vision,Lens Allocated,Mumbai,0,11,24,2,1
Progressive,Prescription Verified,Delhi,0,17,72,0,0
Bifocal,Prescription Verified,Kolkata,0,32,48,4,1
Single Vision,QC,Mumbai,1,26,24,1,0
Single Vision,Order Placed,Delhi,1,53,24,1,0
Progressive,Packed,Delhi,0,14,72,3,1
Bifocal,QC,Durgapur,0,81,48,5,1
Bifocal,Packed,Durgapur,1,57,48,4,0
Single Vision,Prescription Verified,Bangalore,1,85,24,1,0
Progressive,Lens Allocated,Kolkata,0,32,72,5,1
Single Vision,Production,Delhi,1,78,24,4,1
Single Vision,Packed,Kolkata,0,33,24,5,1
Bifocal,Prescription Verified,Kolkata,1,55,48,0,1
Single Vision,Order Placed,Kolkata,1,77,24,5,1
Bifocal,Shipped,Delhi,1,30,48,0,0
Single Vision,Packed,Mumbai,0,51,24,3,0
Single Vision,Shipped,Mumbai,0,82,24,1,0
Single Vision,QC,Kolkata,0,72,24,2,1
Bifocal,Lens Allocated,Bangalore,0,19,48,4,1
Progressive,QC,Durgapur,0,39,72,2,1
Bifocal,QC,Delhi,1,56,48,0,1
Progressive,Shipped,Mumbai,1,46,72,1,0
Bifocal,Production,Delhi,0,87,48,3,1
Single Vision,Production,Delhi,1,97,24,1,0
Single Vision,Lens Allocated,Durgapur,0,78,24,2,1
Progressive,Order Placed,Kolkata,0,6,72,0,0
Progressive,QC,Kolkata,1,44,72,0,1
Progressive,QC,Kolkata,0,87,72,3,1
Progressive,Lens Allocated,Durgapur,0,54,72,3,1
Progressive,QC,Delhi,1,85,72,0,1
Progressive,Shipped,Delhi,0,87,72,1,0
Progressive,Packed,Kolkata,1,45,72,0,0
Single Vision,Lens Allocated,Bangalore,0,44,24,1,1
Progressive,Lens Allocated,Kolkata,0,11,72,2,1
